RNVZ,RNVJ
GGEO,GLEO
VHOA,VHOL
NSID,NSJD
ZZKS,ZZRS
REDA,REDG
OONY,OOXY
HDFJ,HDFA
VRZL,RRZL
YTUU,VTUU
YPOC,YPJC
GRAK,GRRK
JXKF,JXCF
VSMF,VHMF
CSCF,CSZF
ICXV,MCXV
PYCX,FYCX
TUMT,TUNT
FCDS,FCDC
GCQN,GQQN
VXTZ,VXTV
GETM,GETI
APZH,AEZH
ATEO,ATKO
NZXZ,NZUZ
YFFN,YLFN
OZKS,OZSS
BKNV,OKNV
HZGK,HJGK
TZAA,TGAA
BINL,BIIL
UCPR,UAPR
UQLB,CQLB
CAYK,NAYK
NNUE,BNUE
ODBD,ODLD
VFDH,VFDD
OFJH,OFKH
CPLV,CYLV
DPDC,DPXC
SOLS,SSLS
YQBX,YZBX
CBPA,CJPA
BKZP,NKZP
KLAE,KLAL
YDRN,YXRN
HDDU,BDDU
BHKJ,BHKG
YQUD,YNUD
BNVR,BHVR
FGAN,CGAN
QDMK,QDMN
UXZL,UXYL
IJYY,IJIY
FYAY,SYAY
DFZK,DFDK
MGQK,MGQU
AMDU,HMDU
LOUB,LOJB
FMHM,FMXM
SZSF,SKSF
HUVN,HUXN
GCOP,GBOP
OKEB,LKEB
OYHU,OGHU
YVCI,YVCE
OYBH,OUBH
NXKE,NXKZ
EOQK,EMQK
MPDI,MFDI
VKTZ,CKTZ
QGGG,QGGT
SHQZ,SXQZ
IGXM,QGXM
YOND,NOND
DSNF,DSQF
TGEQ,TGEL
HCJE,VCJE
IUDL,ICDL
LNBH,LHBH
PKKV,GKKV
ODFK,RDFK
ZMHO,ZMHK
VEQB,VEQL
AJOD,AJOX
SSJH,SSEH
NYIK,ZYIK
RUDG,RUUG
CVGZ,EVGZ
FGQM,FGQC
SRRU,SRSU
GEPM,PEPM
JQJP,JQJY
TOLQ,TOLY
JMQK,JMQX
RYBU,IYBU
DXPT,DXHT
PTJJ,PLJJ
JCOO,JDOO
MTON,ITON
