JJEQPB,JJEQJB
HAAOOR,HAADOR
RMBTRD,RMBHRD
DTVIGB,DKVIGB
XGCEPR,XGCEPI
DRNGHJ,DRNGAJ
UBSDYM,UBUDYM
QFXAHG,QCXAHG
ZQIELD,ZSIELD
OLEPXR,OLEAXR
SVGTBN,SVGFBN
PTVLZJ,ETVLZJ
PCCPIG,ECCPIG
PMGHJP,HMGHJP
BPUOEM,BPUUEM
LEYPSL,LEYBSL
FNJFQE,FNJTQE
JTCILC,JNCILC
LRBIVT,KRBIVT
AOEDJI,AOEUJI
CVGBJV,ZVGBJV
MDFZHZ,MDFZHM
JYZXZJ,JYSXZJ
OYAVAP,OKAVAP
YNFXZZ,YBFXZZ
PNTRRS,PNLRRS
SEUVQI,SEUXQI
HNBYQX,HNBYRX
NMYCEQ,NMYCMQ
UOCVPC,UOCIPC
TJOPTX,FJOPTX
BRTMZC,BRTMUC
XBPGLN,XBPGLG
ATRKIR,ATRSIR
OVIQVI,OZIQVI
EGKXEF,EGKXEK
TVNSYZ,TVNBYZ
PDLMQY,PDNMQY
TYIJFZ,TYIJFY
XSOHKJ,XSUHKJ
OGDFLG,ZGDFLG
VTGKKO,VTFKKO
OYNKJB,ZYNKJB
IABTZF,IABTZU
KVFMSX,IVFMSX
ADJYVC,TDJYVC
AXVFII,AHVFII
NQMLCQ,NNMLCQ
KCIGVC,YCIGVC
SAERSB,SKERSB
ANHGGA,ANHGGH
ADUEGH,ADMEGH
GCZIFQ,GUZIFQ
KGOCXN,KGOIXN
AMGNPA,AMGNIA
GAYZAC,GAYVAC
ZJGFNX,QJGFNX
DIZNBA,CIZNBA
BIHUTJ,BSHUTJ
NQVALQ,NQVALM
HJLXPR,HJLIPR
FSZGOG,FSXGOG
TPYQTU,TPYQTQ
RIJBGO,RIJCGO
IFUVBF,IRUVBF
TAVZOS,BAVZOS
DOROYG,JOROYG
YDGJOT,NDGJOT
FBYTJK,MBYTJK
HOMJXN,HOMGXN
JGRVMF,JGRXMF
XTUVTN,XTUETN
TXYPYL,VXYPYL
DFHLXX,YFHLXX
MRZAND,MRZZND
QMVOOK,QFVOOK
LSCBVD,LSTBVD
OUDNCQ,OUDNTQ
BMJJBR,BMPJBR
KEPUIO,NEPUIO
CNPIQS,CNJIQS
SJCDHA,LJCDHA
SYJQYL,SYJQDL
LXUAOP,LEUAOP
XKAKLX,XZAKLX
HIFQKK,HIFJKK
DBYVES,DBPVES
ZCXDMC,ZCXDMN
FDELJY,FDEAJY
VAXZPE,TAXZPE
KSPOSB,KYPOSB
JALJMG,JJLJMG
BHLQAI,BHLQAM
NPHOZG,NVHOZG
SCBRNH,SCBRCH
LZXZOX,LZXZOO
XLELEV,QLELEV
TQOXBT,TQOXAT
QMONFL,QPONFL
CIHKGV,CIHKEV
